first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight
henry,ellenson,ellenhe01,henry-ellenson-1,2015-16,Marquette,Big East,1997-01-13,19.416666666666668,82,245
malik,beasley,beaslma01,malik-beasley-1,2015-16,Florida State,ACC,1996-11-26,19.5,77,190
caris,levert,leverca01,caris-levert-1,2015-16,Michigan,Big Ten,1994-08-25,21.75,79,200
deandre,bembry,bembrde01,deandre-bembry-1,2015-16,St. Joseph's,A-10,1994-07-04,21.916666666666668,78,210
malachi,richardson,richama01,malachi-richardson-1,2015-16,Syracuse,ACC,1996-01-05,20.416666666666668,78,195
brice,johnson,johnsbr02,brice-johnson-1,2015-16,UNC,ACC,1994-06-27,21.916666666666668,81,228
pascal,siakam,siakapa01,pascal-siakam-1,2015-16,New Mexico State,WAC,1994-02-04,22.333333333333332,81,230
skal,labissiere,labissk01,skal-labissiere-1,2015-16,Kentucky,SEC,1996-03-18,20.25,83,225
dejounte,murray,murrade01,dejounte-murray-1,2015-16,Washington,Pac-12,1996-09-19,19.75,77,170
damian,jones,jonesda03,damian-jones-1,2015-16,Vanderbilt,SEC,1995-06-30,20.916666666666668,82,248
deyonta,davis,davisde01,deyonta-davis-1,2015-16,Michigan State,Big Ten,1996-12-02,19.5,82,245
cheick,diallo,diallch01,cheick-diallo-1,2015-16,Kansas,Big 12,1996-09-13,19.75,81,218
tyler,ulis,ulisty01,tyler-ulis-1,2015-16,Kentucky,SEC,1996-01-05,20.416666666666668,69,155
malcolm,brogdon,brogdma01,malcolm-brogdon-1,2015-16,Virginia,ACC,1992-12-11,23.5,77,217
chinanu,onuaku,onuakch01,chinanu-onuaku-1,2015-16,Louisville,ACC,1996-11-01,19.583333333333332,82,230
patrick,mccaw,mccawpa01,patrick-mccaw-1,2015-16,UNLV,MWC,1995-10-25,20.583333333333332,78,180
diamond,stone,stonedi01,diamond-stone-1,2015-16,Maryland,Big Ten,1997-02-10,19.333333333333332,83,255
stephen,zimmermanjr,zimmest01,stephen-zimmermanjr-1,2015-16,UNLV,MWC,1996-09-09,19.75,84,240
isaiah,whitehead,whiteis01,isaiah-whitehead-1,2015-16,Seton Hall,Big East,1995-03-08,21.25,76,210
demetrius,jackson,jacksde01,demetrius-jackson-2,2015-16,Notre Dame,ACC,1994-09-07,21.75,73,198
aj,hammons,hammoaj01,aj-hammons-1,2015-16,Purdue,Big Ten,1992-08-27,23.75,84,261
jake,layman,laymaja01,jake-layman-1,2015-16,Maryland,Big Ten,1994-03-07,22.25,81,205
michael,gbinije,gbinimi01,michael-gbinije-1,2015-16,Syracuse,ACC,1992-06-05,24.0,79,200
georges,niang,niangge01,georges-niang-1,2015-16,Iowa State,Big 12,1993-06-17,23.0,80,230
ben,bentil,bentibe01,ben-bentil-1,2015-16,Providence,Big East,1995-03-29,21.166666666666668,80,230
joel,bolomboy,bolomjo01,joel-bolomboy-1,2015-16,Weber State,Big Sky,1994-01-28,22.333333333333332,81,230
kahlil,felder,feldeka01,kahlil-felder-1,2015-16,Oakland,Horizon,1995-03-29,21.166666666666668,69,180
marcus,paige,paigema01,marcus-paige-1,2015-16,UNC,ACC,1993-09-11,22.75,73,175
daniel,hamilton,hamilda02,daniel-hamilton-1,2015-16,UConn,AAC,1995-08-08,20.833333333333332,79,190
abdel,nader,naderab01,abdel-nader-1,2015-16,Iowa State,Big 12,1993-09-25,22.666666666666668,78,230
isaiah,cousins,cousiis01,isaiah-cousins-1,2015-16,Oklahoma,Big 12,1994-03-13,22.25,76,187
tyrone,wallace,wallaty01,tyrone-wallace-1,2015-16,University of California,Pac-12,1994-06-10,22.0,77,200
karl-anthony,towns,townska01,karl-anthony-towns-1,2014-15,Kentucky,SEC,1995-11-15,19.583333333333332,83,250
dangelo,russell,russeda01,dangelo-russell-1,2014-15,Ohio State,Big Ten,1996-02-23,19.333333333333332,77,180
jahlil,okafor,okafoja01,jahlil-okafor-1,2014-15,Duke,ACC,1995-12-15,19.5,83,270
willie,cauley-stein,caulewi01,willie-cauley-stein-1,2014-15,Kentucky,SEC,1993-08-18,21.833333333333332,84,240
stanley,johnson,johnsst04,stanley-johnson-1,2014-15,Arizona,Pac-12,1996-05-29,19.0,78,225
frank,kaminsky,kaminfr01,frank-kaminsky-1,2014-15,Wisconsin,Big Ten,1993-04-04,22.166666666666668,84,242
justise,winslow,winslju01,justise-winslow-1,2014-15,Duke,ACC,1996-03-26,19.166666666666668,78,225
myles,turner,turnemy01,myles-turner-1,2014-15,Texas,Big 12,1996-03-24,19.25,83,240
trey,lyles,lylestr01,trey-lyles-1,2014-15,Kentucky,SEC,1995-11-05,19.583333333333332,82,235
devin,booker,bookede01,devin-booker-2,2014-15,Kentucky,SEC,1996-10-30,18.583333333333332,78,206
cameron,payne,payneca01,cameron-payne-1,2014-15,Murray State,OVC,1994-08-08,20.833333333333332,74,180
kelly,oubre,oubreke01,kelly-oubre-1,2014-15,Kansas,Big 12,1995-12-09,19.5,79,200
terry,rozier,roziete01,terry-rozier-1,2014-15,Louisville,ACC,1994-03-17,21.25,73,190
rashad,vaughn,vaughra01,rashad-vaughn-1,2014-15,UNLV,MWC,1996-08-16,18.833333333333332,78,210
sam,dekker,dekkesa01,sam-dekker-1,2014-15,Wisconsin,Big Ten,1994-05-06,21.083333333333332,81,230
jerian,grant,grantje02,jerian-grant-1,2014-15,Notre Dame,ACC,1992-10-09,22.666666666666668,77,203
delon,wright,wrighde01,delon-wright-1,2014-15,Utah,Pac-12,1992-04-26,23.083333333333332,77,178
justin,anderson,anderju01,justin-anderson-1,2014-15,Virginia,ACC,1993-11-19,21.583333333333332,78,227
bobby,portis,portibo01,bobby-portis-1,2014-15,Arkansas,SEC,1995-02-10,20.333333333333332,83,242
rondae,hollis-jefferson,holliro01,rondae-hollis-jefferson-1,2014-15,Arizona,Pac-12,1995-01-03,20.416666666666668,79,215
tyus,jones,jonesty01,tyus-jones-1,2014-15,Duke,ACC,1996-05-10,19.083333333333332,73,190
jarell,martin,martija01,jarell-martin-1,2014-15,LSU,SEC,1994-05-24,21.083333333333332,82,236
larry,nance,nancela02,larry-nance-2,2014-15,Wyoming,MWC,1993-01-01,22.416666666666668,80,235
rj,hunter,hunterj01,rj-hunter-1,2014-15,Georgia State,Sun Belt,1993-10-24,21.666666666666668,78,190
chris,mccullough,mcculch01,chris-mccullough-1,2014-15,Syracuse,ACC,1995-02-05,20.333333333333332,82,220
kevon,looney,looneke01,kevon-looney-1,2014-15,UCLA,Pac-12,1996-02-06,19.333333333333332,81,220
montrezl,harrell,harremo01,montrezl-harrell-1,2014-15,Louisville,ACC,1994-01-26,21.333333333333332,80,235
jordan,mickey,mickejo01,jordan-mickey-1,2014-15,LSU,SEC,1994-07-09,20.916666666666668,80,235
anthony,brown,brownan02,anthony-brown-5,2014-15,Stanford,Pac-12,1992-10-10,22.666666666666668,78,215
rakeem,christmas,chrisra01,rakeem-christmas-1,2014-15,Syracuse,ACC,1991-12-01,23.5,81,250
richaun,holmes,holmeri01,richaun-holmes-1,2014-15,Bowling Green State,MAC,1993-10-15,21.666666666666668,80,245
darrun,hilliard,hillida01,darrun-hilliard-1,2014-15,Villanova,Big East,1993-04-13,22.166666666666668,78,215
josh,richardson,richajo01,josh-richardson-2,2014-15,Tennessee,SEC,1993-09-15,21.75,78,200
pat,connaughton,connapa01,pat-connaughton-1,2014-15,Notre Dame,ACC,1993-01-06,22.416666666666668,77,218
olivier,hanlan,hanlaol01,olivier-hanlan-1,2014-15,Boston College,ACC,1993-02-15,22.333333333333332,76,190
joseph,young,youngjo01,joseph-young-1,2014-15,Oregon,Pac-12,1992-06-27,22.916666666666668,74,185
andrew,harrison,harrian01,andrew-harrison-1,2014-15,Kentucky,SEC,1994-10-28,20.583333333333332,78,210
marcus,thornton,thornma01,marcus-thornton-3,2014-15,William & Mary,CAA,1993-02-09,22.333333333333332,76,190
norman,powell,powelno01,norman-powell-1,2014-15,UCLA,Pac-12,1993-05-25,22.083333333333332,76,215
dakari,johnson,johnsda04,dakari-johnson-1,2014-15,Kentucky,SEC,1995-09-22,19.75,84,255
aaron,white,whiteaa01,aaron-white-3,2014-15,Iowa,Big Ten,1992-09-10,22.75,81,228
tyler,harvey,harvety01,tyler-harvey-1,2014-15,Eastern Washington,Big Sky,1993-07-17,21.916666666666668,76,185
sirdominic,pointer,pointsi01,sirdominic-pointer-1,2014-15,St. John's (NY),Big East,1992-05-06,23.083333333333332,78,192
cady,lalanne,lalanca01,cady-lalanne-1,2014-15,UMass,A-10,1992-04-22,23.166666666666668,82,253
branden,dawson,dawsobr01,branden-dawson-1,2014-15,Michigan State,Big Ten,1993-02-01,22.333333333333332,78,225
jp,tokoto,tokotjp01,jp-tokoto-1,2014-15,UNC,ACC,1993-09-15,21.75,78,200
andrew,wiggins,wiggian01,andrew-wiggins-1,2013-14,Kansas,Big 12,1995-02-23,19.333333333333332,80,200
jabari,parker,parkeja01,jabari-parker-1,2013-14,Duke,ACC,1995-03-15,19.25,80,235
aaron,gordon,gordoaa01,aaron-gordon-1,2013-14,Arizona,Pac-12,1995-09-16,18.75,81,225
marcus,smart,smartma01,marcus-smart-1,2013-14,Oklahoma State,Big 12,1994-03-06,20.25,76,220
julius,randle,randlju01,julius-randle-1,2013-14,Kentucky,SEC,1994-11-29,19.5,81,250
nik,stauskas,stausni01,nik-stauskas-1,2013-14,Michigan,Big Ten,1993-10-07,20.666666666666668,78,205
noah,vonleh,vonleno01,noah-vonleh-1,2013-14,Indiana,Big Ten,1995-08-24,18.833333333333332,82,240
elfrid,payton,paytoel01,elfrid-payton-1,2013-14,Louisiana-Lafayette,Sun Belt,1994-02-22,20.333333333333332,75,180
doug,mcdermott,mcderdo01,doug-mcdermott-1,2013-14,Creighton,Big East,1992-01-03,22.416666666666668,80,225
zach,lavine,lavinza01,zach-lavine-1,2013-14,UCLA,Pac-12,1995-03-10,19.25,77,180
tj,warren,warretj01,tj-warren-1,2013-14,North Carolina State,ACC,1993-09-05,20.75,80,233
adreian,payne,paynead01,adreian-payne-1,2013-14,Michigan State,Big Ten,1991-02-19,23.333333333333332,82,245
james,young,youngja01,james-young-1,2013-14,Kentucky,SEC,1995-08-16,18.833333333333332,78,215
tyler,ennis,ennisty01,tyler-ennis-1,2013-14,Syracuse,ACC,1994-08-24,19.833333333333332,74,180
gary,harris,harriga01,gary-harris-1,2013-14,Michigan State,Big Ten,1994-09-14,19.75,76,210
mitch,mcgary,mcgarmi01,mitch-mcgary-1,2013-14,Michigan,Big Ten,1992-06-06,22.0,82,255
jordan,adams,adamsjo01,jordan-adams-1,2013-14,UCLA,Pac-12,1994-07-08,19.916666666666668,77,220
rodney,hood,hoodro01,rodney-hood-1,2013-14,Duke,ACC,1992-10-20,21.666666666666668,80,215
shabazz,napier,napiesh01,shabazz-napier-1,2013-14,UConn,AAC,1991-07-14,22.916666666666668,73,180
pj,hairston,hairspj02,pj-hairston-1,2012-13,UNC,ACC,1992-12-24,21.5,78,220
cj,wilcox,wilcocj01,cj-wilcox-1,2013-14,Washington,Pac-12,1990-12-30,23.416666666666668,77,190
josh,huestis,huestjo01,josh-huestis-1,2013-14,Stanford,Pac-12,1991-12-19,22.5,79,230
kyle,anderson,anderky01,kyle-anderson-3,2013-14,UCLA,Pac-12,1993-09-20,20.75,81,230
kj,mcdaniels,mcdankj01,kj-mcdaniels-1,2013-14,Clemson,ACC,1993-02-09,21.333333333333332,78,200
joe,harris-,harrijo01,joe-harris--1,2013-14,Virginia,ACC,1991-09-06,22.75,78,225
cleanthony,early,earlycl01,cleanthony-early-1,2013-14,Wichita State,MVC,1991-04-17,23.166666666666668,80,219
jarnell,stokes,stokeja01,jarnell-stokes-1,2013-14,Tennessee,SEC,1994-01-07,20.416666666666668,80,260
johnny,obryant,obryajo01,johnny-obryant-1,2013-14,LSU,SEC,1993-06-01,21.0,81,256
deandre,daniels,daniede01,deandre-daniels-1,2013-14,UConn,AAC,1992-04-15,22.166666666666668,81,195
spencer,dinwiddie,dinwisp01,spencer-dinwiddie-1,2013-14,Colorado,Pac-12,1993-04-06,21.166666666666668,78,200
jerami,grant,grantje01,jerami-grant-1,2013-14,Syracuse,ACC,1994-03-12,20.25,80,210
glenn,robinson,robingl02,glenn-robinson-2,2013-14,Michigan,Big Ten,1994-01-08,20.416666666666668,78,220
nick,johnson,johnsni01,nick-johnson-1,2013-14,Arizona,Pac-12,1992-12-22,21.5,75,200
markel,brown,brownma02,markel-brown-1,2013-14,Oklahoma State,Big 12,1992-01-29,22.333333333333332,75,190
dwight,powell,poweldw01,dwight-powell-1,2013-14,Stanford,Pac-12,1991-07-20,22.916666666666668,82,240
jordan,clarkson,clarkjo01,jordan-clarkson-1,2013-14,Missouri,SEC,1992-06-07,22.0,77,193
russ,smith,smithru01,russ-smith-1,2013-14,Louisville,AAC,1991-04-19,23.166666666666668,72,165
lamar,patterson,pattela01,lamar-patterson-1,2013-14,Pitt,ACC,1991-08-12,22.833333333333332,77,225
cameron,bairstow,bairsca01,cameron-bairstow-1,2013-14,New Mexico,MWC,1990-12-07,23.5,81,250
alec,brown,brownal01,alec-brown-1,2013-14,Green Bay,Horizon,1992-07-23,21.916666666666668,85,235
semaj,christon,chrisse01,semaj-christon-1,2013-14,Xavier,Big East,1992-11-01,21.583333333333332,75,190
roy,devyn-marble,marblde01,roy-devyn-marble-1,2013-14,Iowa,Big Ten,1992-09-21,21.75,78,200
jordan,mcrae,mcraejo01,jordan-mcrae-1,2013-14,Tennessee,SEC,1991-03-28,23.166666666666668,77,200
xavier,thames,thamexa01,xavier-thames-1,2013-14,San Diego State,MWC,1991-01-19,23.416666666666668,75,195
cory,jefferson,jeffeco01,cory-jefferson-1,2013-14,Baylor,Big 12,1990-12-26,23.5,81,220
anthony,bennett,bennean01,anthony-bennett-1,2012-13,UNLV,MWC,1993-03-14,20.25,80,240
victor,oladipo,oladivi01,victor-oladipo-1,2012-13,Indiana,Big Ten,1992-05-04,21.083333333333332,77,214
otto,porter,porteot01,otto-porter-1,2012-13,Georgetown,Big East,1993-06-03,20.0,80,205
cody,zeller,zelleco01,cody-zeller-1,2012-13,Indiana,Big Ten,1992-10-05,20.666666666666668,84,240
alex,len,lenal01,alex-len-1,2012-13,Maryland,ACC,1993-06-16,20.0,85,225
nerlens,noel,noelne01,nerlens-noel-1,2012-13,Kentucky,SEC,1994-04-10,19.166666666666668,82,228
ben,mclemore,mclembe01,ben-mclemore-1,2012-13,Kansas,Big 12,1993-02-11,20.333333333333332,77,195
kentavious,caldwell-pope,caldwke01,kentavious-caldwell-pope-1,2012-13,Georgia,SEC,1993-02-18,20.333333333333332,77,205
trey,burke,burketr01,trey-burke-1,2012-13,Michigan,Big Ten,1992-11-12,20.583333333333332,72,190
cj,mccollum,mccolcj01,cj-mccollum-1,2012-13,Lehigh,Patriot,1991-09-19,21.75,75,180
michael,carter-williams,cartemi01,michael-carter-williams-1,2012-13,Syracuse,Big East,1991-10-10,21.666666666666668,78,185
steven,adams,adamsst01,steven-adams-1,2012-13,Pitt,Big East,1993-07-20,19.916666666666668,84,250
kelly,olynyk,olynyke01,kelly-olynyk-1,2012-13,Gonzaga,WCC,1991-04-19,22.166666666666668,84,238
shabazz,muhammad,muhamsh01,shabazz-muhammad-1,2012-13,UCLA,Pac-12,1992-11-13,20.583333333333332,78,225
shane,larkin,larkish01,shane-larkin-1,2012-13,Miami (FL),ACC,1992-10-02,20.666666666666668,71,176
tony,snell,snellto01,tony-snell-1,2012-13,New Mexico,MWC,1991-11-10,21.583333333333332,79,200
gorgui,dieng,dienggo01,gorgui-dieng-1,2012-13,Louisville,Big East,1990-01-18,23.416666666666668,83,245
mason,plumlee,plumlma01,mason-plumlee-1,2012-13,Duke,ACC,1990-03-05,23.25,82,235
solomon,hill,hillso01,solomon-hill-1,2012-13,Arizona,Pac-12,1991-03-18,22.25,79,220
tim,hardaway-jr,hardati02,tim-hardaway-jr-1,2012-13,Michigan,Big Ten,1992-03-16,21.25,78,205
reggie,bullock,bullore01,reggie-bullock-2,2012-13,UNC,ACC,1991-03-16,22.25,79,205
andre,roberson,roberan03,andre-roberson-1,2012-13,Colorado,Pac-12,1991-12-04,21.5,79,210
archie,goodwin,goodwar01,archie-goodwin-1,2012-13,Kentucky,SEC,1994-08-17,18.833333333333332,77,198
allen,crabbe,crabbal01,allen-crabbe-1,2012-13,University of California,Pac-12,1992-04-09,21.166666666666668,78,210
carrick,felix,felixca01,carrick-felix-1,2012-13,Arizona State,Pac-12,1990-08-17,22.833333333333332,78,197
isaiah,canaan,canaais01,isaiah-canaan-1,2012-13,Murray State,OVC,1991-05-21,22.083333333333332,73,195
glen,rice-jr,ricegl02,glen-rice-jr-1,2011-12,Georgia Tech,ACC,1991-01-01,22.416666666666668,77,206
ray,mccallum,mccalra01,ray-mccallum-2,2012-13,Detroit,Horizon,1991-06-12,22.0,75,190
tony,mitchell,mitchto02,tony-mitchell-4,2012-13,North Texas,Sun Belt,1992-04-07,21.166666666666668,80,235
nate,wolters,woltena01,nate-wolters-1,2012-13,South Dakota State,Summit,1991-05-15,22.083333333333332,76,193
jeff,withey,witheje01,jeff-withey-1,2012-13,Kansas,Big 12,1990-03-07,23.25,84,235
grant,jerrett,jerregr01,grant-jerrett-1,2012-13,Arizona,Pac-12,1993-07-08,19.916666666666668,82,235
jamaal,franklin,frankja01,jamaal-franklin-1,2012-13,San Diego State,MWC,1991-07-21,21.916666666666668,77,205
pierre,jackson,jackspi01,pierre-jackson-1,2012-13,Baylor,Big 12,1991-08-29,21.75,70,180
mike,muscala,muscami01,mike-muscala-1,2012-13,Bucknell,Patriot,1991-07-01,21.916666666666668,83,234
erick,green,greener01,erick-green-1,2012-13,Virginia Tech,ACC,1991-05-09,22.083333333333332,75,185
ryan,kelly,kellyry01,ryan-kelly-1,2012-13,Eastern Illinois,OVC,1991-04-09,22.166666666666668,83,230
erik,murphy,murpher01,erik-murphy-1,2012-13,Florida,SEC,1990-10-26,22.666666666666668,82,238
james,ennis,ennisja01,james-ennis-1,2012-13,Long Beach State,Big West,1990-07-01,22.916666666666668,79,210
romero,osby,osbyro01,romero-osby-1,2012-13,Oklahoma,Big 12,1990-05-07,23.083333333333332,80,232
lorenzo,brown,brownlo01,lorenzo-brown-1,2012-13,North Carolina State,ACC,1990-08-26,22.833333333333332,77,186
colton,iverson,iversco01,colton-iverson-1,2012-13,Colorado State,MWC,1989-06-29,23.916666666666668,82,261
arsalan,kazemi,kazemar01,arsalan-kazemi-1,2012-13,Oregon,Pac-12,1990-04-22,23.166666666666668,79,226
peyton,siva,sivape01,peyton-siva-1,2012-13,Louisville,Big East,1990-10-24,22.666666666666668,72,185
alex,oriakhi,oriakal01,alex-oriakhi-1,2012-13,Missouri,SEC,1990-06-21,23.0,81,225
deshaun,thomas,thomade01,deshaun-thomas-1,2012-13,Ohio State,Big Ten,1991-08-29,21.75,79,215
anthony,davis,davisan02,anthony-davis-5,2011-12,Kentucky,SEC,1993-03-11,19.25,82,220
michael,kidd-gilchrist,kiddgmi01,michael-kidd-gilchrist-1,2011-12,Kentucky,SEC,1993-09-26,18.75,79,232
bradley,beal,bealbr01,bradley-beal-1,2011-12,Florida,SEC,1993-06-28,19.0,75,207
dion,waiters,waitedi01,dion-waiters-1,2011-12,Syracuse,Big East,1991-12-10,20.5,76,215
thomas,robinson,robinth01,thomas-robinson-2,2011-12,Kansas,Big 12,1991-03-17,21.25,81,237
damian,lillard,lillada01,damian-lillard-1,2011-12,Weber State,Big Sky,1990-07-15,21.916666666666668,74,185
harrison,barnes,barneha02,harrison-barnes-1,2011-12,UNC,ACC,1992-05-30,20.0,80,215
terrence,ross,rosste01,terrence-ross-1,2011-12,Washington,Pac-12,1991-02-05,21.333333333333332,78,195
andre,drummond,drumman01,andre-drummond-1,2011-12,UConn,Big East,1993-08-10,18.833333333333332,82,270
austin,rivers,riverau01,austin-rivers-1,2011-12,Duke,ACC,1992-08-01,19.833333333333332,76,200
meyers,leonard,leoname01,meyers-leonard-1,2011-12,Illinois,Big Ten,1992-02-27,20.333333333333332,85,245
jeremy,lamb,lambje01,jeremy-lamb-1,2011-12,UConn,Big East,1992-05-30,20.0,77,180
kendall,marshall,marshke01,kendall-marshall-1,2011-12,UNC,ACC,1991-08-19,20.833333333333332,76,195
john,henson,hensojo01,john-henson-1,2011-12,UNC,ACC,1990-12-28,21.5,83,220
maurice,harkless,harklma01,maurice-harkless-1,2011-12,St. John's (NY),Big East,1993-05-11,19.083333333333332,80,208
royce,white,whitero03,royce-white-1,2011-12,Iowa State,Big 12,1991-04-10,21.166666666666668,80,270
tyler,zeller,zellety01,tyler-zeller-1,2011-12,UNC,ACC,1990-01-17,22.416666666666668,84,250
