first_name,last_name,bball_ref_name,sports_ref_name,last_college_season,school,conference,birthday,age_at_draft,height,weight,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
troy,brown,,troy-brown-5,2017-18,Oregon,Pac-12,1999-07-28,18.899772069241667,79,215,19,19,562,7.7,17.2,0.448,5.7,10.8,0.532,2.0,6.4,0.308,4.4,5.4,0.8,12.9,6.0,2.5,0.4,4.1,4.0,21.8,111.6,100.1,18.3,0.55,0.506,0.374,0.316,235,6.0,20.7,13.6,18.9,2.5,0.8,17.0,20.8,1.1,0.9,2.1,0.146,2.4,2.6,5.0,0.408,0.648,0.261,0.218,0.316,0.167,0.374,0.308,0.9,0.316,0.8,,,,,,,,,,,,,,,,,,,,,,
jalen,brunson,,jalen-brunson-1,2017-18,Villlanova,Big East,1996-08-31,21.804691403656474,75,199,19,19,581,12.7,22.0,0.577,8.1,12.6,0.646,4.6,9.4,0.485,5.0,6.7,0.754,5.8,9.6,1.7,0.0,2.9,3.3,35.0,141.4,101.4,29.7,0.695,0.681,0.427,0.304,355,1.5,10.1,6.1,31.0,1.7,0.0,10.4,24.8,3.4,0.9,4.3,0.295,11.1,0.6,11.7,0.286,0.708,0.239,0.286,0.585,0.026,0.427,0.485,0.617,0.304,0.754,,,,,,,,,,,,,,,,,,,,,,
tony,carr,,tony-carr-1,2017-18,Penn State,Big Ten,1997-10-11,20.69310115881914,77,204,19,19,633,10.8,27.1,0.401,7.3,19.1,0.385,3.5,8.0,0.438,7.1,8.6,0.823,7.5,8.2,1.7,0.2,3.9,3.4,32.3,112.6,99.8,21.5,0.518,0.465,0.295,0.318,366,3.1,11.8,7.6,29.0,1.7,0.3,11.0,30.3,1.9,1.1,2.9,0.185,3.9,-0.1,3.8,0.238,0.486,0.229,0.467,0.333,0.043,0.295,0.438,0.615,0.318,0.823,,,,,,,,,,,,,,,,,,,,,,
wendell,carter,,wendell-carterjr-1,2017-18,Duke,ACC,1999-04-16,19.181776490961486,82,259,19,19,480,11.5,18.7,0.612,10.2,16.1,0.634,1.2,2.6,0.478,5.8,8.7,0.662,19.4,4.1,1.7,4.2,4.0,6.2,30.0,130.0,93.9,30.0,0.655,0.645,0.139,0.467,256,13.7,23.7,19.0,12.0,1.7,7.5,14.8,22.3,2.0,1.1,3.1,0.254,7.2,6.2,13.5,0.594,0.735,0.611,0.267,0.409,0.444,0.139,0.478,1.0,0.467,0.662,,,,,,,,,,,,,,,,,,,,,,
jevon ,carter,,jevon-carter-1,2017-18,West Virginia,Big 12,1995-09-14,22.76843467011643,74,185,19,19,658,8.4,20.3,0.414,4.8,11.6,0.417,3.6,8.8,0.41,6.4,7.6,0.846,8.2,10.2,5.3,0.8,4.3,4.7,26.8,120.3,85.3,24.9,0.561,0.502,0.43,0.373,346,3.2,13.4,8.0,33.8,5.3,1.7,15.3,23.5,2.2,2.0,4.2,0.254,7.8,5.8,13.6,0.234,0.474,0.333,0.336,0.378,0.161,0.43,0.41,0.674,0.373,0.846,,,,,,,,,,,,,,,,,,,,,,
bonzie,colson,,bonzie-colson-1,2017-18,Notre Dame,ACC,1996-01-12,22.43988582927781,77,226,14,14,470,14.5,27.5,0.526,13.1,22.9,0.57,1.4,4.6,0.306,7.9,10.0,0.795,18.6,2.0,3.6,4.2,3.3,3.2,38.3,120.0,85.5,34.4,0.593,0.551,0.167,0.363,262,8.1,26.1,17.5,8.0,3.6,7.6,9.4,30.6,1.8,1.4,3.2,0.275,4.3,6.0,10.3,0.307,0.758,0.54,0.526,0.46,0.346,0.167,0.306,1.0,0.363,0.795,,,,,,,,,,,,,,,,,,,,,,
hamidou,diallo,,hamidou-diallo-1,2017-18,Kentucky,SEC,1998-07-31,19.89089440577151,77,190,19,19,544,9.2,20.7,0.443,7.5,16.0,0.471,1.6,4.7,0.348,5.5,8.9,0.616,8.9,3.3,2.0,0.5,3.2,5.7,25.5,106.5,100.3,15.8,0.511,0.483,0.229,0.428,231,4.4,12.3,8.7,11.2,2.0,1.0,11.4,24.0,0.9,0.9,1.8,0.13,1.8,1.4,3.2,0.368,0.649,0.5,0.403,0.309,0.36,0.229,0.348,1.0,0.428,0.616,,,,,,,,,,,,,,,,,,,,,,
trevon,duval,,trevon-duval-1,2017-18,Duke,ACC,1998-08-03,19.882680684750543,75,186,19,19,562,8.7,18.2,0.479,7.4,13.2,0.559,1.4,5.0,0.269,3.5,5.7,0.61,4.0,11.4,3.1,0.3,4.7,4.9,22.3,114.6,103.0,17.8,0.532,0.516,0.277,0.314,265,2.0,5.5,3.9,31.0,3.1,0.5,18.5,21.3,1.4,0.8,2.2,0.155,3.9,0.9,4.7,0.489,0.63,0.293,0.234,0.409,0.056,0.277,0.269,0.857,0.314,0.61,,,,,,,,,,,,,,,,,,,,,,
vince ,edwards,,vince-edwards-2,2017-18,Purdue,Big Ten,1996-04-05,22.209901640690774,79,220,21,21,630,10.0,20.5,0.487,6.7,13.4,0.5,3.3,7.1,0.462,5.2,6.2,0.838,14.9,5.3,1.1,1.4,3.5,3.5,28.3,124.5,89.9,24.0,0.606,0.566,0.345,0.301,322,10.5,18.2,14.8,16.4,1.1,2.6,13.1,23.6,2.3,1.6,4.0,0.253,6.3,4.6,10.9,0.274,0.677,0.381,0.381,0.372,0.188,0.345,0.462,0.917,0.301,0.838,,,,,,,,,,,,,,,,,,,,,,
jacob,evans,,jacob-evans-1,2017-18,Cincinnati,AAC,1997-06-18,21.00796046462282,78,210,19,19,591,9.3,19.6,0.475,5.7,10.8,0.532,3.6,8.8,0.404,4.0,5.3,0.755,7.6,6.3,2.5,2.4,3.8,3.8,26.2,120.4,86.5,21.5,0.591,0.566,0.449,0.268,252,4.3,10.1,7.3,20.5,2.5,4.8,14.5,21.5,1.7,1.7,3.4,0.233,5.1,5.7,10.8,0.222,0.705,0.581,0.328,0.415,0.222,0.449,0.404,0.917,0.268,0.755,,,,,,,,,,,,,,,,,,,,,,
bruno ,fernando,,bruno-fernando-1,2017-18,Maryland,Big Ten,1998-08-15,19.849825800666682,82,240,19,11,386,10.8,18.3,0.587,10.8,18.2,0.592,0.0,0.2,0.0,6.8,9.5,0.714,17.3,1.4,1.2,3.9,4.4,8.0,28.3,114.0,91.0,22.9,0.62,0.587,0.008,0.521,165,8.1,24.4,17.2,5.0,1.2,7.0,16.1,23.7,0.9,1.0,1.9,0.196,-0.1,4.2,4.1,0.595,0.708,0.588,0.397,0.417,0.5,0.008,0.0,0.0,0.521,0.714,,,,,,,,,,,,,,,,,,,,,,
robert,franks,,robert-franks-1,2017-18,Washington State,Pac-12,1996-12-18,21.506259539894728,79,175,19,19,609,10.4,21.4,0.487,6.0,11.1,0.538,4.5,10.3,0.432,6.0,6.9,0.865,12.3,3.7,0.8,1.4,4.3,5.0,31.3,118.2,105.9,22.6,0.634,0.591,0.483,0.322,313,6.1,17.4,12.1,13.9,0.8,2.7,14.8,25.8,1.9,0.7,2.6,0.171,4.7,0.5,5.3,0.322,0.649,0.562,0.204,0.34,0.375,0.474,0.44,0.917,0.322,0.865,,,,,,,,,,,,,,,,,,,,,,
daniel,gafford,,daniel-gafford-1,2017-18,Arkansas,SEC,1998-10-01,19.72114417133822,83,234,19,11,424,11.5,18.4,0.625,11.5,18.4,0.625,0.0,0.0,0.0,6.7,12.3,0.542,15.6,2.0,1.7,4.9,2.6,8.4,29.7,123.2,98.0,27.4,0.612,0.625,0.0,0.667,218,10.1,22.4,16.4,6.8,1.7,10.2,9.5,23.6,1.5,0.8,2.2,0.212,3.1,5.9,9.1,0.549,0.924,0.658,0.451,0.262,0.412,0.0,0.0,0.0,0.667,0.542,,,,,,,,,,,,,,,,,,,,,,
shai,gilgeous-alexander,,shai-gilgeous-alexander-1,2017-18,Kentucky,SEC,1998-07-12,19.942914638904288,78,180,19,6,583,7.6,15.8,0.482,6.5,13.6,0.482,1.1,2.2,0.478,5.5,6.7,0.814,6.7,7.8,3.5,0.8,5.0,3.0,21.7,110.2,98.3,18.8,0.573,0.515,0.14,0.427,241,3.1,9.6,6.6,25.0,3.5,1.5,20.9,20.5,1.1,1.1,2.2,0.148,3.5,3.6,7.1,0.451,0.622,0.239,0.409,0.328,0.0,0.14,0.478,1.0,0.427,0.814,,,,,,,,,,,,,,,,,,,,,,
devonte,graham,,devonte-graham-1,2017-18,Kansas,Big 12,1995-02-22,23.326967699542084,74,175,19,19,686,8.1,19.0,0.427,3.2,7.8,0.417,4.9,11.2,0.435,6.8,7.9,0.866,5.6,11.2,3.1,0.2,4.3,2.3,27.9,125.8,99.5,24.1,0.614,0.556,0.59,0.415,382,1.2,9.3,5.6,31.6,3.1,0.3,15.9,23.8,2.8,1.2,4.0,0.231,8.2,2.1,10.3,0.218,0.451,0.043,0.192,0.378,0.059,0.59,0.435,0.633,0.415,0.866,,,,,,,,,,,,,,,,,,,,,,
isaac,haas,,isaac-haas-1,2017-18,Purdue,Big Ten,1995-10-02,22.71915234399064,86,297,21,21,454,12.1,19.5,0.619,12.1,19.5,0.619,0.0,0.0,0.0,11.8,15.5,0.764,13.8,1.8,0.6,3.4,4.1,5.8,35.9,127.6,89.5,28.6,0.67,0.619,0.0,0.794,257,9.8,16.9,13.8,5.9,0.6,6.0,13.4,27.2,2.0,1.2,3.2,0.281,3.7,3.8,7.4,0.445,0.754,0.75,0.555,0.512,0.636,0.0,0.0,0.0,0.794,0.764,,,,,,,,,,,,,,,,,,,,,,
ethan ,happ,,ethan-happ-1,2017-18,Wisconsin,Big Ten,1996-05-07,22.12228861646714,80,200,20,20,597,14.8,26.2,0.563,14.8,25.8,0.573,0.0,0.4,0.0,5.2,10.0,0.521,17.6,7.7,2.8,1.5,6.1,4.7,34.8,109.9,96.3,29.1,0.561,0.563,0.016,0.381,348,11.4,25.9,18.6,32.4,2.8,2.5,16.5,32.6,1.7,1.2,2.9,0.197,5.5,5.5,11.0,0.659,0.633,0.41,0.325,0.451,0.405,0.016,0.0,0.0,0.381,0.521,,,,,,,,,,,,,,,,,,,,,,
kevin,hervey,,kevin-hervey-1,2017-18,UT-Arlington,Sun Belt,1996-07-09,21.949800475026866,79,210,20,18,631,12.8,28.3,0.454,9.0,16.8,0.535,3.9,11.5,0.336,5.1,6.8,0.753,14.3,3.6,2.5,0.9,4.4,3.4,34.6,108.2,92.6,24.1,0.55,0.522,0.407,0.24,378,8.0,20.5,14.5,14.8,2.5,2.2,12.4,31.4,1.5,1.5,3.0,0.188,3.4,1.5,4.9,0.285,0.667,0.516,0.309,0.413,0.558,0.407,0.336,0.674,0.24,0.753,,,,,,,,,,,,,,,,,,,,,,
tra ,holder,,tra-holder-1,2017-18,Arizona State,Pac-12,1995-09-27,22.73284187902558,73,165,19,19,669,8.7,20.9,0.418,5.1,11.9,0.425,3.7,9.0,0.409,8.6,10.2,0.84,7.3,6.0,2.4,0.0,3.9,3.3,29.7,118.9,103.5,21.3,0.577,0.506,0.43,0.488,363,3.3,11.1,7.4,19.9,2.4,0.0,13.2,25.9,2.2,0.9,3.1,0.185,5.9,0.9,6.8,0.365,0.419,0.256,0.208,0.434,0.13,0.427,0.404,0.523,0.49,0.84,,,,,,,,,,,,,,,,,,,,,,
aaron,holiday,,aaron-holiday-1,2017-18,UCLA,Pac-12,1996-09-30,21.722554193446822,73,185,20,20,732,8.9,19.5,0.459,5.8,11.5,0.503,3.2,8.0,0.396,7.2,8.9,0.814,5.5,7.7,2.3,0.4,5.3,3.8,28.3,113.5,106.6,19.9,0.597,0.541,0.409,0.456,380,1.5,8.9,5.4,26.0,2.3,0.7,18.4,25.3,1.9,0.8,2.7,0.148,5.2,-0.3,4.9,0.305,0.671,0.094,0.286,0.324,0.083,0.409,0.396,0.548,0.456,0.814,,,,,,,,,,,,,,,,,,,,,,
jalen,hudson,,jalen-hudson-1,2017-18,Florida,SEC,1996-05-21,22.083957918369304,77,195,19,9,485,11.8,24.9,0.474,6.2,11.4,0.546,5.6,13.6,0.414,7.5,10.5,0.711,9.0,2.3,1.5,1.3,2.2,4.2,36.8,124.9,102.9,25.9,0.614,0.587,0.545,0.423,263,1.8,16.3,8.8,8.8,1.5,2.4,6.9,27.6,1.9,0.7,2.6,0.214,7.5,0.2,7.7,0.255,0.685,0.27,0.203,0.372,0.188,0.542,0.417,0.792,0.425,0.711,,,,,,,,,,,,,,,,,,,,,,
chandler,hutchison,,chandler-hutchison-1,2017-18,Boise State,MW,1996-04-26,22.152405593544017,79,190,19,19,579,12.2,25.5,0.477,9.7,19.0,0.51,2.5,6.6,0.382,9.8,13.7,0.711,14.9,5.9,2.5,0.3,6.5,4.4,36.6,108.2,89.3,25.4,0.572,0.527,0.258,0.538,369,3.5,26.2,15.3,22.6,2.5,0.6,16.8,34.2,1.5,1.6,3.1,0.213,2.5,4.7,7.2,0.371,0.694,0.324,0.371,0.327,0.125,0.258,0.382,0.692,0.538,0.711,,,,,,,,,,,,,,,,,,,,,,
jaren,jackson,,jaren-jacksonjr-1,2017-18,Michigan State,Big Ten,1999-09-15,18.765614625899232,83,242,20,20,458,8.1,16.0,0.504,5.0,9.1,0.548,3.1,7.0,0.446,9.1,11.4,0.793,15.4,3.2,2.0,7.8,5.3,8.3,28.3,119.7,81.2,26.1,0.66,0.601,0.434,0.713,211,8.4,19.6,14.9,9.3,2.0,14.1,19.9,22.9,1.4,1.6,2.9,0.256,5.0,11.1,16.1,0.419,0.611,0.485,0.147,0.368,0.571,0.434,0.446,1.0,0.713,0.793,,,,,,,,,,,,,,,,,,,,,,
justin ,jackson,,justin-jackson-5,2017-18,Maryland,Big Ten,1997-02-18,21.336509305461437,79,225,11,10,323,6.7,18.3,0.366,4.9,11.0,0.443,1.8,7.2,0.25,4.3,5.2,0.828,16.1,3.8,1.6,1.6,5.8,2.7,19.5,94.2,94.7,13.8,0.47,0.416,0.396,0.287,119,11.0,20.1,16.0,12.2,1.6,2.9,21.8,23.1,0.1,0.7,0.8,0.098,-0.7,3.7,3.1,0.317,0.594,0.316,0.287,0.276,0.25,0.396,0.25,1.0,0.287,0.828,,,,,,,,,,,,,,,,,,,,,,
alize,johnson,,alize-johnson-1,2017-18,Missouri State,Missouri Valley,1996-04-22,22.16335722157197,81,201,21,21,619,10.9,25.2,0.433,8.3,15.8,0.524,2.6,9.4,0.278,6.5,8.6,0.753,24.0,4.4,0.8,0.7,4.5,4.1,30.9,111.4,89.6,24.7,0.528,0.485,0.372,0.341,324,12.5,30.8,22.0,15.8,0.8,1.3,13.4,28.6,1.7,1.6,3.3,0.213,3.7,1.8,5.5,0.172,0.622,0.214,0.456,0.487,0.224,0.372,0.278,0.778,0.341,0.753,,,,,,,,,,,,,,,,,,,,,,
andrew,jones,,andrew-jones-3,2017-18,Texas,Big 12,1997-12-09,20.53156464540682,76,190,10,8,226,12.2,23.2,0.528,7.3,12.8,0.571,4.9,10.4,0.475,5.7,7.8,0.733,6.2,5.2,1.6,0.5,4.4,4.2,35.1,122.0,99.7,25.2,0.654,0.635,0.449,0.337,121,2.0,9.9,6.0,20.9,1.6,1.0,14.1,27.1,0.9,0.4,1.2,0.218,7.9,1.2,9.1,0.344,0.742,0.217,0.2,0.278,0.0,0.456,0.463,0.895,0.333,0.733,,,,,,,,,,,,,,,,,,,,,,
vj,king,,vj-king-1,2017-18,Louisville,ACC,1997-01-22,21.41043279465013,78,190,19,18,491,6.9,18.2,0.38,4.9,13.0,0.381,2.0,5.2,0.378,4.4,6.1,0.717,7.9,1.8,1.4,0.3,3.6,3.8,20.1,95.1,99.5,10.1,0.478,0.434,0.285,0.335,163,3.3,11.0,7.4,5.8,1.4,0.6,14.5,21.4,0.2,0.9,1.0,0.083,-2.0,0.8,-1.2,0.291,0.522,0.333,0.418,0.288,0.158,0.291,0.37,0.882,0.335,0.717,,,,,,,,,,,,,,,,,,,,,,
kevin,knox,,kevin-knox-1,2017-18,Kentucky,SEC,1999-08-11,18.86144137114383,81,215,19,19,611,8.5,19.5,0.439,6.2,11.7,0.531,2.3,7.7,0.298,5.6,7.3,0.763,9.8,2.9,1.7,0.6,4.4,4.1,25.0,104.6,99.6,15.2,0.544,0.498,0.396,0.377,249,2.9,15.3,9.6,9.7,1.7,1.1,16.1,23.4,0.8,1.0,1.9,0.123,2.0,1.6,3.6,0.222,0.702,0.667,0.382,0.432,0.371,0.396,0.298,0.88,0.377,0.762,,,,,,,,,,,,,,,,,,,,,,
brandon,mccoy,,brandon-mccoy-1,2017-18,UNLV,MW,1998-06-11,20.027789756120935,85,250,19,19,517,13.4,22.2,0.605,13.3,21.9,0.606,0.1,0.2,0.5,7.5,10.9,0.689,19.1,1.0,1.2,2.9,5.8,5.3,34.4,113.2,94.4,26.8,0.629,0.607,0.009,0.493,297,12.8,24.1,19.1,3.8,1.2,4.5,17.4,28.5,1.4,1.1,2.6,0.2,0.7,0.5,1.2,0.628,0.704,0.737,0.363,0.436,0.765,0.009,0.5,1.0,0.493,0.689,,,,,,,,,,,,,,,,,,,,,,
deanthony,melton,,deanthony-melton-1,2017-18,USC,Pac-12,1998-05-28,20.066120454218773,76,190,36,25,972,5.9,13.6,0.437,4.7,9.2,0.51,1.2,4.3,0.284,4.5,6.4,0.706,10.0,7.3,4.0,2.2,3.8,4.8,17.6,110.8,100.5,19.2,0.53,0.483,0.32,0.472,351,6.0,13.6,9.9,22.5,4.0,3.9,18.5,17.7,1.7,1.5,3.2,0.133,3.0,5.3,8.3,0.476,0.582,0.422,0.203,0.34,0.25,0.32,0.284,0.857,0.472,0.706,,,,,,,,,,,,,,,,,,,,,,
chimezie,metu,,chimezie-metu-1,2017-18,USC,Pac-12,1997-03-22,21.24889628123781,83,215,21,20,619,12.0,22.8,0.524,11.0,20.7,0.533,0.9,2.1,0.435,7.2,9.5,0.757,13.8,2.9,1.3,3.4,3.8,5.1,32.0,116.9,99.1,25.1,0.586,0.544,0.093,0.415,320,7.6,20.5,14.1,10.4,1.3,6.8,12.1,27.0,1.9,1.1,3.0,0.193,2.7,3.7,6.4,0.541,0.641,0.63,0.454,0.446,0.392,0.005,0.5,0.0,0.475,0.741,,,,,,,,,,,,,,,,,,,,,,
shake,milton,,malik-milton-1,2017-18,Southern Methodis,AAC,1996-09-26,21.733505821474775,77,195,20,20,731,9.6,21.1,0.452,5.3,11.3,0.467,4.3,9.8,0.436,7.4,8.8,0.838,7.6,7.6,2.4,1.1,3.9,3.0,30.8,124.4,96.7,24.2,0.608,0.554,0.464,0.417,358,2.3,12.7,7.6,24.9,2.4,2.4,13.2,25.0,2.8,1.5,4.2,0.232,6.7,1.7,8.3,0.226,0.509,0.276,0.31,0.436,0.324,0.464,0.436,0.784,0.417,0.838,,,,,,,,,,,,,,,,,,,,,,
